3.0583 	WARNING 	Speech-to-text recognition module not available (use command `pip install SpeechRecognition` to get it. Transcription will be unavailable.
3.0802 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
3.0846 	WARNING 	Monitor specification not found. Creating a temporary one...
13.9824 	EXP 	window1: recordFrameIntervals = False
14.1502 	EXP 	window1: recordFrameIntervals = True
14.3320 	EXP 	window1: recordFrameIntervals = False
14.5113 	EXP 	Created memoryPrompt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='memoryPrompt', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
14.5352 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
14.5358 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
14.5360 	EXP 	New trial (rep=0, index=0): None
14.5811 	EXP 	memoryPrompt: text = 'Prompt One'
14.5811 	EXP 	memoryPrompt: autoDraw = True
18.5477 	EXP 	memoryPrompt: autoDraw = False
18.5477 	EXP 	memoryPrompt: autoDraw = False
18.5477 	EXP 	text: autoDraw = True
22.5335 	EXP 	New trial (rep=1, index=0): None
22.5477 	EXP 	text: autoDraw = False
22.5477 	EXP 	text: autoDraw = False
22.5477 	EXP 	memoryPrompt: text = 'Last week'
22.5477 	EXP 	memoryPrompt: autoDraw = True
26.5474 	EXP 	memoryPrompt: autoDraw = False
26.5474 	EXP 	memoryPrompt: autoDraw = False
26.5474 	EXP 	text: autoDraw = True
30.5331 	EXP 	New trial (rep=2, index=0): None
30.5473 	EXP 	text: autoDraw = False
30.5473 	EXP 	text: autoDraw = False
30.5473 	EXP 	memoryPrompt: text = 'Next weel'
30.5473 	EXP 	memoryPrompt: autoDraw = True
34.5304 	EXP 	memoryPrompt: autoDraw = False
34.5304 	EXP 	memoryPrompt: autoDraw = False
34.5304 	EXP 	text: autoDraw = True
38.5161 	EXP 	New trial (rep=3, index=0): None
38.5303 	EXP 	text: autoDraw = False
38.5303 	EXP 	text: autoDraw = False
38.5303 	EXP 	memoryPrompt: text = 'Last year'
38.5303 	EXP 	memoryPrompt: autoDraw = True
43.5133 	EXP 	memoryPrompt: autoDraw = False
43.5133 	EXP 	memoryPrompt: autoDraw = False
43.5133 	EXP 	text: autoDraw = True
48.4990 	EXP 	New trial (rep=4, index=0): None
48.5132 	EXP 	text: autoDraw = False
48.5132 	EXP 	text: autoDraw = False
48.5132 	EXP 	memoryPrompt: text = 'Next year'
48.5132 	EXP 	memoryPrompt: autoDraw = True
52.4964 	EXP 	memoryPrompt: autoDraw = False
52.4964 	EXP 	memoryPrompt: autoDraw = False
52.4964 	EXP 	text: autoDraw = True
56.4962 	EXP 	text: autoDraw = False
56.4962 	EXP 	text: autoDraw = False
56.5277 	EXP 	Created instruction = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instruction', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='default text', units='norm', win=Window(...), wrapWidth=1)
56.5959 	EXP 	instruction: text = '\nPlease answer the questions honestly.\n\nA list of descriptions and a rating scale ranging from 1 to 10 will be presented on the screen.\n\nPlease use the left and right arrow keys to select your answer, and the enter button to confirm.\n'
88.1539 	EXP 	window1: mouseVisible = True
