37.3821 	WARNING 	Speech-to-text recognition module not available (use command `pip install SpeechRecognition` to get it. Transcription will be unavailable.
37.4499 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
37.4574 	WARNING 	Monitor specification not found. Creating a temporary one...
37.9513 	EXP 	window1: recordFrameIntervals = False
38.0200 	EXP 	window1: recordFrameIntervals = True
38.0960 	EXP 	window1: recordFrameIntervals = False
38.5168 	EXP 	Created memoryPrompt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='memoryPrompt', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
38.5419 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
38.5431 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
38.5435 	EXP 	New trial (rep=0, index=0): None
38.6053 	EXP 	memoryPrompt: text = ['Prompt One']
38.6053 	EXP 	memoryPrompt: autoDraw = True
39.7721 	DATA 	Mouse: Left button down, pos=(699,516)
39.8424 	DATA 	Mouse:  Left button up, pos=(699,516)
40.4468 	DATA 	Keypress: return
42.7514 	DATA 	Mouse: Left button down, pos=(706,377)
42.8696 	DATA 	Mouse:  Left button up, pos=(706,377)
43.5664 	EXP 	memoryPrompt: autoDraw = False
43.5664 	EXP 	memoryPrompt: autoDraw = False
43.5664 	EXP 	text: autoDraw = True
48.5638 	EXP 	New trial (rep=1, index=0): None
48.5739 	EXP 	text: autoDraw = False
48.5739 	EXP 	text: autoDraw = False
48.5739 	EXP 	memoryPrompt: text = ['a a ']
48.5739 	EXP 	memoryPrompt: autoDraw = True
52.5748 	EXP 	memoryPrompt: autoDraw = False
52.5748 	EXP 	memoryPrompt: autoDraw = False
52.5748 	EXP 	text: autoDraw = True
56.5729 	EXP 	New trial (rep=2, index=0): None
56.5894 	EXP 	text: autoDraw = False
56.5894 	EXP 	text: autoDraw = False
56.5894 	EXP 	memoryPrompt: text = ['b b ']
56.5894 	EXP 	memoryPrompt: autoDraw = True
60.5879 	EXP 	memoryPrompt: autoDraw = False
60.5879 	EXP 	memoryPrompt: autoDraw = False
60.5879 	EXP 	text: autoDraw = True
64.5857 	EXP 	New trial (rep=3, index=0): None
64.5966 	EXP 	text: autoDraw = False
64.5966 	EXP 	text: autoDraw = False
64.5966 	EXP 	memoryPrompt: text = ['c']
64.5966 	EXP 	memoryPrompt: autoDraw = True
69.5960 	EXP 	memoryPrompt: autoDraw = False
69.5960 	EXP 	memoryPrompt: autoDraw = False
69.5960 	EXP 	text: autoDraw = True
74.6006 	EXP 	New trial (rep=4, index=0): None
74.6176 	EXP 	text: autoDraw = False
74.6176 	EXP 	text: autoDraw = False
74.6176 	EXP 	memoryPrompt: text = ['d']
74.6176 	EXP 	memoryPrompt: autoDraw = True
79.6101 	EXP 	memoryPrompt: autoDraw = False
79.6101 	EXP 	memoryPrompt: autoDraw = False
79.6101 	EXP 	text: autoDraw = True
84.6116 	EXP 	text: autoDraw = False
84.6116 	EXP 	text: autoDraw = False
