Trial_No,Type,Condition,Stim1,Stim1_F1,Stim1_F2,Stim2,Stim2_F1,Stim2_F2,Stim3,Stim3_F1,Stim3_F2,Stim4,Stim4_F1,Stim4_F2,Corr_Resp
1,E,3,Upper Case,C,NA,neat,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
2,E,3,Upper Case,C,NA,observant,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
3,E,2,Friend,C,NA,hot-tempered,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
4,E,4,Upper Case,C,NA,dominating,CL,Negative,NA,NA,NA,NA,NA,NA,No
5,E,2,Friend,C,NA,envious,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
6,E,4,Upper Case,C,NA,short-tempered,CL,Negative,NA,NA,NA,NA,NA,NA,No
7,E,1,Friend,C,NA,cooperative,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
8,E,4,Upper Case,C,NA,talented,CL,Positive,NA,NA,NA,NA,NA,NA,No
9,E,4,Upper Case,C,NA,unfriendly,CL,Negative,NA,NA,NA,NA,NA,NA,No
10,E,2,Friend,C,NA,unattentive,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
11,E,3,Upper Case,C,NA,alert,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
12,E,2,Friend,C,NA,depressed,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
13,E,4,Upper Case,C,NA,efficient,CL,Positive,NA,NA,NA,NA,NA,NA,No
14,E,2,Friend,C,NA,unintelligent,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
15,E,4,Upper Case,C,NA,forgiving,CL,Positive,NA,NA,NA,NA,NA,NA,No
16,E,3,Upper Case,C,NA,polite,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
17,E,3,Upper Case,C,NA,noisy,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
18,E,2,Friend,C,NA,oversensitive,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
19,E,1,Friend,C,NA,helpful,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
20,E,1,Friend,C,NA,pleasant,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
21,E,4,Upper Case,C,NA,possessive,CL,Negative,NA,NA,NA,NA,NA,NA,No
22,E,1,Friend,C,NA,broad-minded,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
23,E,4,Upper Case,C,NA,trustful,CL,Positive,NA,NA,NA,NA,NA,NA,No
24,E,1,Friend,C,NA,humorous,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
25,E,3,Upper Case,C,NA,unpunctual,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
26,E,2,Friend,C,NA,unobservant,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
27,E,1,Friend,C,NA,happy,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
28,E,3,Upper Case,C,NA,nervous,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
29,E,3,Upper Case,C,NA,kind,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
30,E,4,Upper Case,C,NA,considerate,CL,Positive,NA,NA,NA,NA,NA,NA,No
31,E,3,Upper Case,C,NA,thoughtful,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
32,E,2,Friend,C,NA,unhealthy,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
33,E,1,Friend,C,NA,intelligent,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
34,E,4,Upper Case,C,NA,clumsy,CL,Negative,NA,NA,NA,NA,NA,NA,No
35,E,1,Friend,C,NA,trustworthy,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
36,E,2,Friend,C,NA,unhappy,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
37,E,1,Friend,C,NA,understanding,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
38,E,3,Upper Case,C,NA,unemotional,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
39,E,3,Upper Case,C,NA,impractical,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
40,E,4,Upper Case,C,NA,sincere,CL,Positive,NA,NA,NA,NA,NA,NA,No
41,E,1,Friend,C,NA,emotional,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
42,E,3,Upper Case,C,NA,fearful,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
43,E,2,Friend,C,NA,indecisive,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
44,E,1,Friend,C,NA,shy,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
45,E,2,Friend,C,NA,forgetful,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
46,E,1,Friend,C,NA,impulsive,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
47,E,4,Upper Case,C,NA,silent,CL,Negative,NA,NA,NA,NA,NA,NA,No
48,E,2,Friend,C,NA,critical,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
