Trial_No,Type,Condition,Stim1,Stim1_F1,Stim1_F2,Stim2,Stim2_F1,Stim2_F2,Stim3,Stim3_F1,Stim3_F2,Stim4,Stim4_F1,Stim4_F2,Corr_Resp
1,E,4,Upper Case,C,NA,fault-finding,CL,Negative,NA,NA,NA,NA,NA,NA,No
2,E,2,You,C,NA,unsympathetic,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
3,E,3,Upper Case,C,NA,sloppy,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
4,E,1,You,C,NA,prompt,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
5,E,4,Upper Case,C,NA,punctual,CL,Positive,NA,NA,NA,NA,NA,NA,No
6,E,3,Upper Case,C,NA,capable,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
7,E,1,You,C,NA,well-mannered,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
8,E,1,You,C,NA,patient,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
9,E,1,You,C,NA,witty,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
10,E,4,Upper Case,C,NA,orderly,CL,Positive,NA,NA,NA,NA,NA,NA,No
11,E,3,Upper Case,C,NA,overcritical,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
12,E,2,You,C,NA,wasteful,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
13,E,1,You,C,NA,enthusiastic,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
14,E,1,You,C,NA,imaginative,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
15,E,1,You,C,NA,courteous,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
16,E,3,Upper Case,C,NA,clever,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
17,E,3,Upper Case,C,NA,overconfident,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
18,E,4,Upper Case,C,NA,pessimistic,CL,Negative,NA,NA,NA,NA,NA,NA,No
19,E,1,You,C,NA,cheerful,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
20,E,2,You,C,NA,domineering,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
21,E,4,Upper Case,C,NA,angry,CL,Negative,NA,NA,NA,NA,NA,NA,No
22,E,4,Upper Case,C,NA,responsible,CL,Positive,NA,NA,NA,NA,NA,NA,No
23,E,2,You,C,NA,untidy ,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
24,E,3,Upper Case,C,NA,moody,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
25,E,1,You,C,NA,unselfish,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
26,E,2,You,C,NA,superstitious,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
27,E,4,Upper Case,C,NA,friendly,CL,Positive,NA,NA,NA,NA,NA,NA,No
28,E,3,Upper Case,C,NA,warm,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
29,E,1,You,C,NA,reliable,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
30,E,4,Upper Case,C,NA,self-critical,CL,Positive,NA,NA,NA,NA,NA,NA,No
31,E,3,Upper Case,C,NA,truthful,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
32,E,3,Upper Case,C,NA,inconsistent,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
33,E,2,You,C,NA,unimaginative,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
34,E,2,You,C,NA,stubborn,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
35,E,4,Upper Case,C,NA,insecure,CL,Negative,NA,NA,NA,NA,NA,NA,No
36,E,3,Upper Case,C,NA,loyal,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
37,E,2,You,C,NA,indifferent,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
38,E,4,Upper Case,C,NA,worrier,CL,Negative,NA,NA,NA,NA,NA,NA,No
39,E,3,Upper Case,C,NA,honest,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
40,E,1,You,C,NA,daydreamer,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
41,E,2,You,C,NA,sarcastic,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
42,E,2,You,C,NA,absent-minded,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
43,E,2,You,C,NA,gullible,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
44,E,3,Upper Case,C,NA,timid,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
45,E,4,Upper Case,C,NA,argumentative,CL,Negative,NA,NA,NA,NA,NA,NA,No
46,E,1,You,C,NA,bashful,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
47,E,4,Upper Case,C,NA,unpredictable,CL,Positive,NA,NA,NA,NA,NA,NA,No
48,E,2,You,C,NA,conformist,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
