Trial_No,Type,Condition,Stim1,Stim1_F1,Stim1_F2,Stim2,Stim2_F1,Stim2_F2,Stim3,Stim3_F1,Stim3_F2,Stim4,Stim4_F1,Stim4_F2,Corr_Resp
30,E,4,You,C,NA,self-critical,CL,Positive,NA,NA,NA,NA,NA,NA,No
26,E,4,You,C,NA,prejudiced,CL,Negative,NA,NA,NA,NA,NA,NA,No
15,E,2,You,C,NA,self -centered,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
17,E,4,You,C,NA,daring,CL,Positive,NA,NA,NA,NA,NA,NA,No
8,E,1,You,C,NA,patient,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
41,E,2,You,C,NA,sarcastic,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
40,E,1,You,C,NA,daydreamer,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
3,E,1,You,C,NA,quiet,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
19,E,4,You,C,NA,thrifty,CL,Positive,NA,NA,NA,NA,NA,NA,No
7,E,1,You,C,NA,well-mannered,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
6,E,3,You,C,NA,capable,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
9,E,4,You,C,NA,conceited,CL,Negative,NA,NA,NA,NA,NA,NA,No
16,E,3,You,C,NA,clever,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
39,E,3,You,C,NA,honest,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
15,E,1,You,C,NA,courteous,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
43,E,2,You,C,NA,gullible,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
36,E,3,You,C,NA,loyal,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
28,E,3,You,C,NA,warm,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
47,E,4,You,C,NA,unpredictable,CL,Positive,NA,NA,NA,NA,NA,NA,No
38,E,4,You,C,NA,worrier,CL,Negative,NA,NA,NA,NA,NA,NA,No
17,E,3,You,C,NA,overconfident,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
6,E,3,You,C,NA,perfectionistic,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
39,E,1,You,C,NA,modest,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
13,E,1,You,C,NA,enthusiastic,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
22,E,2,You,C,NA,jealous,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
3,E,3,You,C,NA,sloppy,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
37,E,2,You,C,NA,disobedient,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
48,E,1,You,C,NA,sensible,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
34,E,2,You,C,NA,stubborn,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
10,E,4,You,C,NA,orderly,CL,Positive,NA,NA,NA,NA,NA,NA,No
25,E,3,You,C,NA,idealistic,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
5,E,4,You,C,NA,punctual,CL,Positive,NA,NA,NA,NA,NA,NA,No
4,E,1,You,C,NA,prompt,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
12,E,4,You,C,NA,loud-mouthed,CL,Negative,NA,NA,NA,NA,NA,NA,No
23,E,3,You,C,NA,persuasive,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
21,E,4,You,C,NA,angry,CL,Negative,NA,NA,NA,NA,NA,NA,No
18,E,4,You,C,NA,pessimistic,CL,Negative,NA,NA,NA,NA,NA,NA,No
27,E,4,You,C,NA,friendly,CL,Positive,NA,NA,NA,NA,NA,NA,No
25,E,1,You,C,NA,unselfish,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
26,E,2,You,C,NA,superstitious,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
21,E,2,You,C,NA,nosey,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
31,E,3,You,C,NA,truthful,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
2,E,2,You,C,NA,unsympathetic,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
44,E,3,You,C,NA,timid,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
1,E,4,You,C,NA,fault-finding,CL,Negative,NA,NA,NA,NA,NA,NA,No
40,E,4,You,C,NA,curious,CL,Positive,NA,NA,NA,NA,NA,NA,No
9,E,1,You,C,NA,witty,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
23,E,2,You,C,NA,untidy ,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
